burst_id,burst,burst_chars,burst_ms,pause_ms,pause_location,sfl_tier1,sfl_tier2,process_type
1,what is,7,2757,9184,word_boundary,within_rheme,Process (auxiliary),Relational
2,,0,185,3419,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
3,what ,5,1746,4654,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
4,is ,3,240,1616,word_boundary,within_rheme,Process (auxiliary),Relational
5,,0,617,7738,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
6,What is ,8,3348,2189,word_boundary,within_rheme,Process (auxiliary),Relational
7,,0,279,5230,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
8,what ,5,1344,4089,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
9,What ,5,2699,5064,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
10,is ,3,833,4762,word_boundary,within_rheme,Process (auxiliary),Relational
11,,0,317,5061,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
12,What,4,5359,4929,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
13,What is it that ,16,4195,6074,phrase_boundary,,,Existential
14,,0,1630,,word_boundary,theme_rheme_boundary,Participant (Actor/Senser/Carrier — Process not yet written),
